1,0,0,0,0,0,0,0,0,0,0,0,0
2,6,0,0,1,0,0,0,0,0,0,0,0
3,5,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0
5,5,1,2,3,0,0,0,0,0,0,0,0
6,6,0,0,0,0,0,0,0,0,0,0,0
7,2,0,0,0,0,0,0,0,0,0,0,0
8,3,0,0,0,0,0,0,0,0,0,0,0
9,2,0,0,0,0,0,0,0,0,0,0,0
10,6,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
12,4,0,1,1,0,0,0,0,0,0,33,0
13,4,0,0,0,0,0,0,0,0,0,0,2
14,2,0,1,1,0,0,0,0,0,0,20,0
15,3,1,0,1,0,0,0,0,0,0,18,0
16,0,0,0,0,0,0,0,0,0,0,2,0
17,4,1,0,1,0,0,0,0,0,0,2,0
18,2,0,0,0,0,0,0,0,0,0,11,0
19,0,0,0,0,0,0,0,0,0,0,18,0
20,6,0,0,0,0,0,0,0,0,0,16,3
21,3,0,0,0,0,0,0,0,0,0,17,2
22,1,0,0,0,0,0,0,0,0,0,0,1
23,2,0,0,0,0,0,0,0,0,0,1,0
24,2,0,0,0,0,0,0,0,0,0,2,0
25,0,0,0,0,0,0,0,0,0,0,0,0
26,1,0,0,0,0,0,0,0,0,0,1,0
27,2,0,0,0,0,0,0,0,0,0,0,0
28,2,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0
30,6,0,1,1,0,0,0,0,0,0,13,3
31,2,0,0,0,0,0,0,0,0,0,6,1
"32","1","0","0","0","0","0","0","0","0","0","8","1"
